run_key,task_id,issue_url,base_commit,model,provider,status,passed,failure_category,fail2pass_passed,pass2pass_passed,holdout_verifier_passed,scope_passed,attempts,tool_steps,changed_files,added_lines,deleted_lines,duration_ms,input_tokens,output_tokens,total_tokens,invalid_final_blocked_count
openai-agents-3994-empty-stream-input__minimal_policy__r1__rerun1,openai-agents-3994-empty-stream-input,https://github.com/openai/openai-agents-python/issues/3994,a6cb92244211dc3845e738b2125c684906e59824,gpt-5.5,openai,fail,False,patch_not_applied,False,True,False,True,15,20,0,0,0,88705.54,8581,106,8687,0
openai-agents-3994-empty-stream-input__minimal_policy__r1__rerun2,openai-agents-3994-empty-stream-input,https://github.com/openai/openai-agents-python/issues/3994,a6cb92244211dc3845e738b2125c684906e59824,gpt-5.5,openai,pass,True,,True,True,True,True,26,30,1,0,3,145051.75,10922,70,10992,0
openai-agents-4144-handoff-stream-events__minimal_policy__r1__rerun1,openai-agents-4144-handoff-stream-events,https://github.com/openai/openai-agents-python/issues/4144,bdc294fcd446718060b3444c2894c8b3d39fae56,gpt-5.5,openai,fail,False,patch_not_applied,False,True,False,True,27,30,0,0,0,191875.49,11723,56,11779,0
openai-agents-4144-handoff-stream-events__minimal_policy__r1__rerun2,openai-agents-4144-handoff-stream-events,https://github.com/openai/openai-agents-python/issues/4144,bdc294fcd446718060b3444c2894c8b3d39fae56,gpt-5.5,openai,fail,False,patch_not_applied,False,True,False,True,35,40,0,0,0,152239.17,8526,69,8595,0
openai-agents-4190-empty-session-add__minimal_policy__r1,openai-agents-4190-empty-session-add,https://github.com/openai/openai-agents-python/pull/4190,6e4cec5cee95adca51afd088355423d935315943,gpt-5.5,openai,pass,True,,True,True,True,True,15,19,2,25,1,98911.76,9293,144,9437,0
